QUESTION,BT_LEVEL
Describe Prisoner Dilemma in the context of game theory.,K1-REMEMBER
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,K1-REMEMBER
Describe the economic growth and FOUR (4) sources of economic growth. ,K1-REMEMBER
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,K1-REMEMBER
List FIVE (5) differences between forward and future market. ,K1-REMEMBER
List and briefly describe FOUR (4) types of secondary equity markets. ,K1-REMEMBER
List FIVE (5) major business activities of investment banks. ,K1-REMEMBER
"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",K1-REMEMBER
"Based on your knowledge, describe TWO (2) foreign bonds that are well known in the market. ",K1-REMEMBER
Describe THREE (3) deposit liabilities for commercial banks. ,K1-REMEMBER
The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,K1-REMEMBER
Companies must take reasonable steps to ensure that their investors enjoy equal access to material information. Briefly describe SIX (6) corporate disclosure policies under Main Market Listing Requirements (MMLR). ,K1-REMEMBER
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",K1-REMEMBER
Identify FIVE (5) conditions that one needs to meet in order to be an independent director in Malaysian public listed company (PLC).,K1-REMEMBER
Describe the THREE (3) roles for social media in branding.,K1-REMEMBER
Define Information Systems (IS). ,K1-REMEMBER
State TWO (2) subsystems of AIS. ,K1-REMEMBER
List out FOUR (4) benefits of using RFID.,K1-REMEMBER
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,K1-REMEMBER
List out any SIX (6) factors to be considered when designing a layout. ,K1-REMEMBER
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,K1-REMEMBER
Identify SIX (6) factors to be considered when designing layout. ,K1-REMEMBER
Label the human communication process diagram below.,K1-REMEMBER
List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,K1-REMEMBER
List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,K1-REMEMBER
Identify FIVE (5) key players in advertising. ,K1-REMEMBER
List SEVEN (7) types of advertising. ,K1-REMEMBER
Identify FOUR (4) factors that influence consumer behaviour. ,K1-REMEMBER
List FIVE (5) basic types of research.,K1-REMEMBER
Describe the SEVEN (7) advantages of radio advertising. ,K1-REMEMBER
Define FOUR (4) primary roles of advertising in business and society. ,K1-REMEMBER
Define briefly the role of marketing in advertising effectiveness. ,K1-REMEMBER
Describe FIVE (5) key players in advertising. ,K1-REMEMBER
Describe consumer behaviour. ,K1-REMEMBER
Define Chiaroscuro and Sfumato technique.,K1-REMEMBER
Describe the Pop Art style in 1958 - 1972.,K1-REMEMBER
Define 2 dimensional and 3 dimensional designs. ,K1-REMEMBER
Describe FIVE (5) categories of space.,K1-REMEMBER
Describe Renaissance art style. ,K1-REMEMBER
Write FIVE (5) types of lines. ,K1-REMEMBER
List down FIVE (5) types of shapes. ,K1-REMEMBER
Describe Impressionism art style. ,K1-REMEMBER
Write THREE (3) categories of color. ,K1-REMEMBER
Define color temperature. ,K1-REMEMBER
Describe FIVE (5) techniques to achieve dominance. ,K1-REMEMBER
Describe color wheel. ,K1-REMEMBER
Write down the FIVE (5) phases of the design process. ,K1-REMEMBER
Define problem solving processes.,K1-REMEMBER
Write FOUR (4) purposes of poster. ,K1-REMEMBER
Identify FIVE (5) problem solving processes. ,K1-REMEMBER
Define graphic design and product design. ,K1-REMEMBER
Describe graphic design and product design. ,K1-REMEMBER
Describe the meaning of 'design'. ,K1-REMEMBER
Define liberal art.,K1-REMEMBER
Describe graphic design. ,K1-REMEMBER
